DD:MM:YYYY,hh:mm:ss,n/a,n/a,°C,n/a,n/a,°C,n/a,n/a,n/a,n/a,n/a
Date,Time,FU:0.valueCompressorSpeed,FU:0.valueCondenserFanSpeed,FU:0.valueAmbientSensor,FU:0.stateCoolingSwitching,FU:0.stateCoolingSwitchingRequest,Zone:0.valueAirSensor,Zone:0.valueLightDimLevel,Zone:0.stateZone,Zone:1.stateZone,Zone:0.stateDoor,Zone:1.stateDoor
20.03.2020,10:48:03,0,2000,25,0,3,11.1,11,1,0,0,0
20.03.2020,10:48:04,0,2000,25,0,3,11.1,11,1,0,0,0
20.03.2020,10:48:06,0,2000,25,0,3,11.1,11,1,0,0,0
20.03.2020,10:48:08,0,2000,25,0,3,11,11,1,0,0,0
20.03.2020,10:48:09,0,2000,25,0,3,11.1,11,1,0,0,0
20.03.2020,10:48:11,0,2000,25,0,3,11,11,1,0,0,0
20.03.2020,10:48:13,0,2000,25,0,3,11,11,1,0,0,0
20.03.2020,10:48:14,0,2000,25,0,3,11,11,1,0,0,0
20.03.2020,10:48:16,0,2000,25,0,3,11,11,1,0,0,0
20.03.2020,10:48:18,0,2000,25,0,3,11,11,1,0,0,0
20.03.2020,10:48:20,0,2000,25,0,3,11,11,1,0,0,0
20.03.2020,10:48:21,0,2000,25,0,3,11,11,1,0,0,0
20.03.2020,10:48:23,0,2000,25,0,3,11.1,11,1,0,0,0
20.03.2020,10:48:25,0,2000,25,0,3,11,11,1,0,0,0
20.03.2020,10:48:26,0,2000,25,0,3,11,11,1,0,0,0
20.03.2020,10:48:28,0,2000,25,0,3,11,11,1,0,0,0
20.03.2020,10:48:30,0,2000,25,0,3,11,11,1,0,0,0
20.03.2020,10:48:32,0,2000,25,0,3,11,11,1,0,0,0
20.03.2020,10:48:33,0,2000,25,0,3,11.1,11,1,0,0,0
20.03.2020,10:48:35,0,2000,25,0,3,11,11,1,0,0,0
20.03.2020,10:48:37,0,2000,25,0,3,11,11,1,0,0,0
20.03.2020,10:48:38,0,2000,25,0,3,11,11,1,0,0,0
20.03.2020,10:48:40,0,2000,25,0,3,11,11,1,0,0,0
20.03.2020,10:48:42,0,2000,25,0,3,11,11,1,0,0,0
20.03.2020,10:48:43,0,2000,25,0,3,11,11,1,0,0,0
20.03.2020,10:48:45,0,2000,25,0,3,11,11,1,0,0,0
